sku,fold,train_start,train_end,test_start,test_end,model,n_test_days,MAE,RMSE,MAPE,WAPE,SMAPE,bias,error
P108,0,2023-01-29,2025-09-01,2025-09-02,2025-10-01,Holt-Winters ES,30,1.75,2.6015,15.4156,12.681,14.0189,0.7651,
P108,0,2023-01-29,2025-09-01,2025-09-02,2025-10-01,"SARIMA (1,1,1)x(1,0,1)7",30,1.6755,2.5221,12.4464,12.1414,12.6298,-0.2143,
P108,0,2023-01-29,2025-09-01,2025-09-02,2025-10-01,Random Forest,30,1.7254,2.6682,12.3878,12.5031,13.0442,-0.9149,
P108,0,2023-01-29,2025-09-01,2025-09-02,2025-10-01,Gradient Boosting,30,1.7088,2.7066,12.3026,12.3829,11.8249,-0.0591,
P108,0,2023-01-29,2025-09-01,2025-09-02,2025-10-01,XGBoost,30,1.6169,2.5997,12.0067,11.717,11.6001,-0.0114,
P108,1,2023-01-29,2025-10-01,2025-10-02,2025-10-31,Moving Average (28d),30,5.2,5.9768,61.8228,35.2144,41.1991,-1.5524,
P108,1,2023-01-29,2025-10-01,2025-10-02,2025-10-31,Holt-Winters ES,30,1.5287,2.2618,13.3819,10.3522,12.4079,-0.1208,
P108,1,2023-01-29,2025-10-01,2025-10-02,2025-10-31,"SARIMA (1,1,1)x(1,0,1)7",30,1.4757,2.4102,9.7533,9.9932,10.2653,-0.9219,
P108,1,2023-01-29,2025-10-01,2025-10-02,2025-10-31,Random Forest,30,1.6816,2.5039,11.0392,11.3881,11.4592,-0.7255,
P108,1,2023-01-29,2025-10-01,2025-10-02,2025-10-31,Gradient Boosting,30,1.3171,1.9506,11.0099,8.9197,10.2555,0.3129,
P108,1,2023-01-29,2025-10-01,2025-10-02,2025-10-31,XGBoost,30,1.2226,2.0057,9.0774,8.2793,8.9031,-0.0846,
